LOCATION,DRAWINGNUM,CONTRACTNUM,PROJECTNUM,PROJECTMGR,ORIGINATOR,TITLE,COMMENTS,DATE
479,182,080120S/264-80,NULL,George Levinthal,Aquatic Design Group,Old Pool Filter Replacement Project,NULL,2007-09-06 00:00:00.000
479,183,,NULL,Telli Foster,Rnt Architects,Art Surge Renovation,NULL,2007-12-04 00:00:00.000
479,184,1102905S/ 100319S,NULL,Daniel Belding,Chuck Woodburn,Temporary Relocation Project  Arts Woodshop,NULL,2010-12-21 00:00:00.000
479,185,150520B/ 101-59,NULL,Liana Khammash,Van Sande Structural Consultants,Interim Seismic Reinforcement For Building 479 Old Gym,NULL,2015-06-10 00:00:00.000
479,186,987983,NULL,Telli Foster,Degenkolb,Campus Pool (Old Pool) Storage Area,"(Mimi Fontanills)
Degenkolb as the Designer/engineer and EJS as the Contractor",2019-09-20 00:00:00.000
479,187,unknown,NULL,Perrin Pellegrin,Perrin Pellegrin,Room 1208 Reception Area Conversion,,2021-06-14 00:00:00.000
489,118,tbd,,Croft Yjader,Richard McKenzie AIA Architects,Building 489 Restroom Remodel,NULL,2019-01-22 00:00:00.000
501,104,981360,NULL,Croft Yjader,Xa Architects,Arbor Remodel,NULL,2002-12-02 00:00:00.000
501,105,040133B/124-62,NULL,Croft Yjader,Chuck Woodburn,Arbor Temporary Trl Electrical Service,NULL,2003-09-10 00:00:00.000
501,106,040198B/124-61,NULL,Croft Yjader,Xa Architects,Arbor Demolition,NULL,2003-10-24 00:00:00.000
501,107,050525S/981360,NULL,Croft Yjader,Kremer And Associates,Arbor Convenience Store Casework And Fixtures,NULL,2005-02-25 00:00:00.000
503,132,010679S/211-29,NULL,James Gonzales,Xa Architects,Doherty Lab RenovationEngineering Ii 503 3223,NULL,2001-05-03 00:00:00.000
503,133,030055S/101-14,NULL,Emilio Casanueva,Chuck Woodburn,"Engineering Ii Building
ReClad Project",NULL,2002-01-07 00:00:00.000
503,134,/980920,NULL,James Gonzales,Jame Gonzales Ucsb,Clean Room Process Piping,NULL,2002-02-27 00:00:00.000
503,137,030346/987556,NULL,James Gonzales,The Palt Co,Chmelka Lab Fume Hood Addition,NULL,2003-01-21 00:00:00.000
503,139,050069B/987580,NULL,James Gonzales,The Palt Co,Mbeii Room 1239,NULL,2004-08-03 00:00:00.000
503,140,050579S/109-42/987593,NULL,James Gonzales,The Palt Company Vic Waytek And Jim Wagner,Mocvd Expansion Eng Ii Bldg 503 Room 1119G,NULL,2005-05-20 00:00:00.000
503,141," 050640S/434-71",NULL,Telli Foster,Jmpe,IntraBuilding Wiring Project,NULL,2005-09-20 00:00:00.000
503,142,0602999S/987649/211-01,NULL,Deedee Ciancola,Chuck Woodburn,Saleh Lab Remodel,NULL,2005-12-07 00:00:00.000
503,143,070120S/980925,NULL,George Levinthal,Chuck Woodburn,Engineering Ii Pavilion Renovation,NULL,2006-06-20 00:00:00.000
503,144,070344S/219-71,NULL,Deedee Ciancola,Vla Architects,Eng Ii Room 1335 Remodel,NULL,2007-01-16 00:00:00.000
503,145,070466S/981550,NULL,James Gonzales,P2S Engineering,Palmstrom Lab Renovation 1St Floor Eng Ii Bldg 503,NULL,2007-03-15 00:00:00.000
503,148,080185L/981520,NULL,James Gonzales,The Palt Co,Teaching Clean Room Mocvd Renovation Engineering Ii Room 1141,NULL,2007-04-20 00:00:00.000
503,150,090301S/987722,NULL,Deedee Ciancola,James Zimmerman,Lab Remoder Rooms 1119B And 1119E,NULL,2009-02-13 00:00:00.000
503,151,050272B/109-39,NULL,James Gonzales,The Palt Co,Hawker Lab Rm  3133,NULL,2004-11-18 00:00:00.000
503,152,213-36,NULL,Deedee Ciancola,David Bothman,Rm 2217A Lab Renovation,NULL,2009-06-29 00:00:00.000
503,153,NULL,NULL,Frank Castanha,,Xxxxxxxxxx,NULL,2009-09-11 00:00:00.000
503,154," ",NULL,James Gonzales,"Architects West Greg Rech ",Renovations To Room 1171 And H2 Generator,NULL,2010-03-08 00:00:00.000
503,155,120437B/115-41,NULL,George Levinthal,Richard Mckenzie,"Engineering Ii Partial ReRoof ",NULL,2012-03-19 00:00:00.000
503,156,140301S,NULL,Jennifer Pierce,"Architects West Greg Rech ",Engr Ii 3229 Lab Remodel Building 503,NULL,2014-01-06 00:00:00.000
503,158,160245S/987877/078-77,NULL,Jennifer Hernandez,Greg Rech,Engineering Ii Lab Reno 2232,NULL,2016-01-08 00:00:00.000
503,159,170143B,NULL,Jennifer Hernandez,"Architects West Greg Rech ",Engineering Ii Lab Reno 2234,NULL,2016-11-15 00:00:00.000
503,160,170350B/101-18,NULL,James Gonzales,,Office Ceiling Fan Installations,NULL,2017-05-16 00:00:00.000
503,161,FM#190131B/079-54,NULL,Jennifer Hernandez,Greg Rech,Engineering II Room #2243 Modification,NULL,2018-09-28 00:00:00.000
503,162,FM200049B/987980,NULL,James Gonzales,TBD,"GRAD STUDENT OFFICE SUITE, Room 3228",NULL,2019-08-06 00:00:00.000
503,163,FM____________B/987937,NULL,James Gonzales,James Gonzales,Grad Student Office Engineering 2 bldg 503 room 3315,NULL,2019-08-19 00:00:00.000
504,102,010723B/981310,NULL,Celeste Manolas,Xa Architects,Rms 1229 2239 Modifications,NULL,2001-06-21 00:00:00.000
504,103,150254S,NULL,Croft Yjader,"Architects West Greg Rech ",Iii Bldg 504 Room 1217 Remodel,NULL,2014-11-10 00:00:00.000
504,104,FM200489S,NULL,James Gonzales,tbd,Biological Sciences Instructional Facility Bldg. 504 Roof Replacement,NULL,2020-05-18 00:00:00.000
505,116,,NULL,Emilio Casanueva,Xa Architects,Founders Room Renovation,NULL,2002-09-25 00:00:00.000
505,117,,NULL,Emilio Casanueva,Xa Architects,Ticket Booth,NULL,2002-09-20 00:00:00.000
505,118,080404S/421-65,NULL,Mark Peppers,The Palt Co,Event Center Air Handler Changeout,NULL,2008-02-01 00:00:00.000
505,119,080412S/421-63,NULL,Croft Yjader,Vance Breshears Sound Technology Consultants,Ecen Sound System,NULL,2008-02-06 00:00:00.000
505,120," 090373-JOC",NULL,Ray Aronson,,Event Center Drainage  Southwest,NULL,2009-07-09 00:00:00.000
505,121,1000225/421-82,NULL,Mark Schwartzbach,The Palt Co,Event CenterNW Air Handler Replacement,NULL,2009-07-27 00:00:00.000
505,122,110492S/136-76,NULL,Telli Foster,P2S,Event Center Lighting,NULL,2011-05-02 00:00:00.000
505,123,120001S/421-89,NULL,Croft Yjader,Dan Rothchild Architect,Event Center Exterior Painting Project,NULL,2011-06-28 00:00:00.000
505,124,120423/077-84,NULL,Deedee Ciancola,Jm Holliday Associates,Event Center Locker Room Remodel,NULL,2012-03-19 00:00:00.000
505,125,130143S/987799,NULL,Roger Monte,Salas Obrien,Air Handler Replacement 3 Events Center,NULL,2012-09-05 00:00:00.000
505,126,140156S/421-07,NULL,Mark Schwartzbach,Collings And Associates,Events Center Fire Alarm Replacement,NULL,2013-05-13 00:00:00.000
505,127,150554B/078-44,NULL,Jennifer Hernandez,Aandb Design,Event Center Concessions Project,NULL,2015-06-29 00:00:00.000
505,128,160017/118-94,NULL,George Levinthal,Sunpower,NOT INSTALLED Campus Photovoltaic Solar Project,NULL,2016-01-20 00:00:00.000
505,129,FM____________S/987931,NULL,James Gonzales,TBD,Event Center bldg. 505 Boiler Replacement,NULL,2017-10-30 00:00:00.000
505,130,FM170401,NULL,Paul Kouns,Blackbird Architects,Men's Basketball Locker Room Renovation,90% CDs received 1/26/2018,2018-01-03 00:00:00.000
505,131,tbd,NULL,Paul Kouns,Saltee Architecture,Events Center Restroom Renovations,,2020-04-01 00:00:00.000
505,132,tbd,NULL,Paul Kouns,Studio 1030,Events Center Men's Locker Room Restroom Renovation,,2021-07-30 00:00:00.000
506,101,FM,88810,Liana Khammash,tbd,Classroom Building,new building in 2019,2019-04-12 00:00:00.000
507,108,030231/101-18,NULL,Robert  Muhr,Chuck Woodburn,Replace Roof Central Store,NULL,2002-10-28 00:00:00.000
508,101,106-42,NULL,Ilze Landfried,Howard And Van Sande,Seismic Strengthening Seawater Aquaria,NULL,2000-11-16 00:00:00.000
510,104,010597-S/100-41,NULL,Emilio Casanueva,Xa Architects,Facilities Village Project,NULL,2001-05-01 00:00:00.000
511,101,020206L/981400,NULL,Ilze Landfried,Sasaki Associates,Recreation Center Expansion,NULL,2001-10-29 00:00:00.000
511,102,070427L,NULL,George Levinthal,Sasaki Associates,Recreational Center Ii Photovoltaic Panel System Installation,NULL,2007-03-19 00:00:00.000
511,103,FM220019S/987035,NULL,James Gonzales,Salas O'Brien,"MAC facility AHU replacement, Bdg 511",NULL,2021-07-27 00:00:00.000
511,104,265-45,NULL,James Gonzales,Salas OBrien,MAC Facility Heat Vent replacement units BLDG. 511,NULL,2021-09-18 00:00:00.000
512,101,100023/98165,NULL,Roger Monte,Moore Ruble Yudell Architects And Planners,Bioengineering Building 512,NULL,2011-05-03 00:00:00.000
514,101,090295L/981220,NULL,Ray Aronson,"   Ehdd",Ocean Science Education Bldg,NULL,2005-10-27 00:00:00.000
515,101,930178L/980830,NULL,Alan Walker,Zimmer Gunsul Frasca Partnership,Humanities And Social Sciences Building,NULL,1993-11-29 00:00:00.000
515,102,040197B/118-44,NULL,Mark Peppers,Jim Wagner Palt Co,Chilled Water Loop Modification,NULL,2003-10-22 00:00:00.000
515,103,090077/980830,NULL,Joe Van Thyne,Mark Savel Architects,Hssb Repair Project,NULL,2010-03-16 00:00:00.000
515,104,090077/980835,NULL,Joe Van Thyne,Xontah Builders,Hssb Dance Drama And Upper Tower Pvc Roof Replacement,NULL,2011-06-21 00:00:00.000
515,105,110569L/ 980835,NULL,Joe Van Thyne,Kbz Architects,Humanities And Social Sciences Building Exterior Painting And Caulking,NULL,2012-03-30 00:00:00.000
515,106,FM190374B/101-12,NULL,James Gonzales,tbd,HSSB fan coil replacement,NULL,2019-04-16 00:00:00.000
516,103,050329SR/981400,NULL,Karl Burrelsman,Sasaki Assoc,Reccenter Spa,NULL,2004-12-21 00:00:00.000
516,104,050014B/264-57,NULL,Robert  Muhr,Ray,Reccen Boiler Replacement,NULL,2004-07-27 00:00:00.000
516,106,080446S/264-74,NULL,Deedee Ciancola,Bobeaston Archtects,Reccen Locker Room Remodel,NULL,2008-02-21 00:00:00.000
516,107,,NULL,Mark Schwartzbach,Aquatic Design Group,Reccen Aquatic Complex Renewal,NULL,2008-06-26 00:00:00.000
516,108,090501B,NULL,George Levinthal,Richard Mckenzie,Reccent Gutter  Downspout Replacement,NULL,2009-06-24 00:00:00.000
516,109,FM 190164/987956,NULL,Ed Schmittgen,DA Hogan & Associates,Rec Center Pavillion Multi-Use Area Turf Infill,NULL,2018-10-16 00:00:00.000
516,110,FM#190028JOC,NULL,Jennifer Pierce,Goss Engineering,RecCen Boiler Replacement (516),NULL,2019-01-14 00:00:00.000
516,111,FM200437S/987006,NULL,James Gonzales,LPA Design Studios Architects,"RECREATION CENTER BLDG 516, SHOWER RENOVATION",NULL,2020-04-14 00:00:00.000
516,112,tbd,NULL,EMPTY,EMPTY,EMPTRY,NULL,2020-07-01 00:00:00.000
517,101,030643/981040,NULL,Frank Castanha,B3,Alumni House Design Development,NULL,2004-10-06 00:00:00.000
517,102,170319S/168-07,NULL,Jennifer Hernandez,Thompson Naylor Architects,Mosher Alumni House Accelerator Project Renovation Bldg 517,NULL,2017-04-25 00:00:00.000
517,103,none,NULL,unknown,Elite Fire Protection,Mosher Alumni House- First Floor Fire Sprinkler Demo and New Sprinkler Installation,NULL,2017-09-19 00:00:00.000
517,104,FM#190092B/987951,NULL,Jennifer Hernandez,Architects West,Mosher Alumni Restroom Renovation,NULL,2018-08-24 00:00:00.000
520,101,0202825/981200/105-05,NULL,Ray Aronson,Penfield And Smith  Stantec,Msrb Westerly Access Road,NULL,2001-12-14 00:00:00.000
520,102,010617L/981200,NULL,Gary Banks,Zgf Partnership,Marine Science Research Building,NULL,2001-12-14 00:00:00.000
520,103,1002250B/ 150-05,NULL,Joe Van Thyne,Mec Consultants,Marine Science Reas Bldg 520 Add Cooling Coil Rms 10101008,NULL,2010-11-04 00:00:00.000
521,101,980198L/980850,NULL,Gary Banks,Zgf,Environmental  Sciences   Management,NULL,1999-05-14 00:00:00.000
521,103,060115S/987645/248-80,NULL,Mark Peppers,The Palt Company Vic Waytek And Jim Wagner,Bren Bldg 521 Air Conditioning For 4Th Floor,NULL,2005-08-18 00:00:00.000
521,104,100105S/118-78,NULL,Mark Peppers,Rumsey Engineering,Bren Hall Labs Ventilation Upgrade,NULL,2009-10-02 00:00:00.000
521,105,110119S,NULL,Jennifer Hernandez,"Architects West Greg Rech ",Bren Visitor Center Exhibit,NULL,2010-09-15 00:00:00.000
521,106,170191B,NULL,Jennifer Hernandez,,Bren Office 4026 Split Renovation,NULL,2017-02-02 00:00:00.000
521,107,0,NULL,Jennifer Pierce,Goss Engineering,"Bren Hall Restrooms Recycled Water Revision, GWD Job # 18-4500",NULL,2019-04-26 00:00:00.000
525,120,130455/141-12.,NULL,Croft Yjader,Brummel Mechanical Engineering,Davidson Library Sep Project,NULL,2013-11-12 00:00:00.000
525,523,970172B/100-16/624812,NULL,Robert  Muhr,Anderson Systems,Installation Of Replacement Cooling Tower,NULL,1998-02-20 00:00:00.000
525,526,NULL,NULL,Moe Hurtado,Bill Hanna,Jack Support SystemLibrary Unit 1,NULL,2000-06-13 00:00:00.000
525,527,010440B/100-26,NULL,Moe Hurtado,John Maloney Engineering,Replace 4160 Volt Switchgear,NULL,2000-12-15 00:00:00.000
525,528,010498-S,NULL,Emilio Casanueva,Chuck Woodburn,Replacement Of Doors,NULL,2001-02-05 00:00:00.000
525,529,010715S/101-02,NULL,Robert  Muhr,Cannon Associates,Replace Boilers Davidson Library Bldg 525,NULL,2001-06-04 00:00:00.000
525,530,020157S/101-03,NULL,Robert  Muhr,Mark Peppers,Library Tower East Side Hvac Replacements Bldg 525,NULL,2001-11-15 00:00:00.000
525,532,040085S/101-33,NULL,Robert  Muhr,Mark Peppers,Library Tower Hvac Renewal,NULL,2003-08-13 00:00:00.000
525,533,110099S/987759,NULL,Roger Monte,"Architects West Greg Rech ",IT Area Romm 1523,NULL,2010-08-25 00:00:00.000
525,534,NULL,NULL,Daniel Belding,,Administrative Entry Only  No Associated Project 535600,NULL,2012-10-11 00:00:00.000
525,535,NULL,NULL,Daniel Belding,,Administrative Entry Only  No Associated Project 535600,NULL,2012-10-11 00:00:00.000
525,536,NULL,NULL,Daniel Belding,,Administrative Entry Only  No Associated Project 535600,NULL,2012-10-11 00:00:00.000
525,600,NULL,NULL,Daniel Belding,,Administrative Entry Only  No Associated Project 535600,NULL,2012-10-11 00:00:00.000
525,601,981230,NULL,Karl Burrelsman,Pfeiffer Partners,Davidson Library Addition And Renewal,NULL,2012-10-11 00:00:00.000
525,602,150255S,NULL,Jennifer Hernandez,Bildsten Architecture And Planning,Davidson Library Studio For Writing Engagement And Learning,NULL,2014-10-04 00:00:00.000
525,603,170057B,NULL,Jennifer Hernandez,Jennifer Hernandez,Transfer Center Conference Room 1582A  Aka 1582A,NULL,2016-09-07 00:00:00.000
525,604,170411B/250-06,NULL,Croft Yjader,,Partition Server Room 1523E Davidson Library,NULL,2017-07-19 00:00:00.000
525,605,110-10,NULL,George Levinthal,Sunpower,Campus Photovoltaic - Phase III - Sunpower,NULL,2018-02-20 00:00:00.000
525,606,tbd,NULL,Jennifer Hernandez,Jennifer Hernandez,CITRAL Office Remodel,NULL,2018-05-17 00:00:00.000
525,607,FM#190028JOC,NULL,Jennifer Pierce,Goss Engineering,Davidson Library & Life Sciences Boiler Replacement (525 & 235),NULL,2019-01-14 00:00:00.000
525,608,"WebTMA #: DCS-910194, work order: 250-12",NULL,Telli Foster,Ficcadenti Waggoner and Castle,Davidson Library DIRTT Sliding Door Partition,NULL,2019-05-08 00:00:00.000
525,609,NONE,NULL,Jennifer Hernandez,Pacific Acoustics,Davidson Library Room 1557 Renovation,NULL,2019-06-13 00:00:00.000
525,610,"FM200050B  ",NULL,Jennifer Hernandez,Richard McKenzie,Davidson Library Compact Shelving Room #3582,NULL,2019-08-06 00:00:00.000
525,611,FM200071B/250-10,NULL,George Levinthal,Bob Easton Architects,renovation of the 3593 Suite of offices in Davidson Library,NULL,2019-08-13 00:00:00.000
525,612,TBD,NULL,Telli Foster,Mimi Fontanills,Library 1589 ATC Renovation,NULL,2019-09-05 00:00:00.000
525,613,TBD,NULL,Perrin Pellegrin,Pacific Acoustics,Library Room 35210S Office Split,NULL,2019-10-31 00:00:00.000
525,614,tbd,NULL,Perrin Pellegrin,tbd,Office Renovation Library Suite 3593,NULL,2020-04-30 00:00:00.000
525,615,FM210134B250/910809,NULL,Perrin Pellegrin,tbd,"Room 3593P and 3593N remodel, wall demo, carpet, etc.",NULL,2020-10-29 00:00:00.000
525,616,unknown,NULL,Perrin Pellegrin,unknown,Library Room 1575 alterations,NULL,2020-11-23 00:00:00.000
525,650,FM220140S/103-15,NULL,"James Gonzales ",19-6 Architects,"University Library 4th floor Roof Replacement, Building 525",NULL,2021-11-16 00:00:00.000
525,651,FM210285OB/ W.O.#250-40,NULL,Perrin Pellegrin,Jordan Sager,Library 1575 HVAC Upgrade,NULL,2022-04-11 00:00:00.000
526,220,,NULL,Celeste Manolas,Chuck Woodburn,Webb 1031 Renovations,NULL,2001-02-16 00:00:00.000
526,221,010606S/100-18,NULL,Robert  Muhr,Mec,Replace BoilersCoils Webb Hall Building 526,NULL,2001-03-22 00:00:00.000
526,222,FM170197/WO247-10,NULL,Liana Khammash,ShubinDonaldson Architects,Trace Metal Clean laboratory at Webb Hall,NULL,2017-08-09 00:00:00.000
527,147,970409B/290-21,NULL,Dan Heedy,Kbz Architects,Santa Rosa Residence Hall Renovation,NULL,1998-06-30 00:00:00.000
527,148,120078L/988640,NULL,Mark Schwartzbach,Kbz,Santa Rosa Fire Safety And RenewalBoiler Room Equipment Replacement,NULL,2011-08-10 00:00:00.000
527,149,FM170310/8-762990-76640-5,NULL,Paul Kounds,Kim True,Santa Rosa Hall North - Recycled water conversion,NULL,2019-10-10 00:00:00.000
528,210,202-05,NULL,Celeste Manolas,C Manolas,Eap South Hall 2431 Modifications,NULL,2001-05-15 00:00:00.000
528,211,040440B/987588/480-13,NULL,Celeste Manolas,Salvador Melendez,South Hall 4Th Fl Matp Modification,NULL,2004-04-04 00:00:00.000
528,212," 987588",NULL,Celeste Manolas,Salvador Melendez,South Hall Bldg 528 4Th Floor Matp Renovation,NULL,2004-07-22 00:00:00.000
528,213,120434B,NULL,Telli Foster,P2S Engineering,South Hall Lighting Upgrade,NULL,2012-03-13 00:00:00.000
528,214,NULL,NULL,Jennifer Hernandez,Phil Suding Landscape,South Hall Bike Parking,NULL,2012-06-13 00:00:00.000
528,215,140200,NULL,Croft Yjader,Is Ken Beisser Of Engineering Consultants,South Hall Boiler Replacement Project Bldg 528,NULL,2013-10-15 00:00:00.000
528,217,,NULL,Leslie Colasse,Collings And Associates,South Hall Fire Alarm Replacement Bldg 528,NULL,2016-11-14 00:00:00.000
528,218,FM__________B/101-87,NULL,James Gonzales,TBD,"528 south hall & 554 Hatlin Theater roof replacement.
",Two Drawing #s are assigned.  One for each building.,2017-11-17 00:00:00.000
528,219,FM180450S,NULL,Jennifer Pierce,Goss Engineering,South Hall and Music boiler upgrade,,2018-06-25 00:00:00.000
528,220,tbd,NULL,Jennifer Hernandez,tbd,South Hall #1431 Classroom Renovation,,2019-12-10 00:00:00.000
528,221,FM21021L/102-86,NULL,Perrin Pellegrin,tbd,South Hall Roof Replacement,,2021-01-28 00:00:00.000
528,222,tbd,NULL,Perrin Pellegrin,none,Splitting room 5521 with a new demising wall,,2021-05-07 00:00:00.000
531,226,980395S/100-62,NULL,Croft Yjader,,"Replace Roofs 4  7 ",NULL,1999-05-12 00:00:00.000
531,227,100-88,NULL,Celeste Manolas,Chuck Woodburn David Goldstein Associates,Music Ceiling Lights,NULL,1999-12-13 00:00:00.000
531,228," 990392S/100-89",NULL,Croft Yjader,Bob Nettles Under Contract To  John Maloney,Music Building 531 Fire Alarm System Replacement,NULL,2000-04-25 00:00:00.000
531,229,010309B/100-87,NULL,Mark Peppers,Mechanical Engineering Consultants,University Of California Music Ii Building 531 Air Handler Replacement,NULL,2000-09-05 00:00:00.000
531,230,MF010438B/100-26,NULL,Moe Hurtado,John Maloney Engineering,4160 Volt Switchgear Replacement,NULL,2000-12-15 00:00:00.000
531,231,030232S/101-29,NULL,Robert  Muhr,Mec Inc,"Interior Chilled Water Piping Modifications
Music Building 531",NULL,2002-10-28 00:00:00.000
531,233,050347S/434-65,NULL,Telli Foster,Jmpe,Music IntraBuilding Wiring,NULL,2005-01-21 00:00:00.000
531,234,070418S/434-79,NULL,Telli Foster,Paul Gawronik,Music Intra Building Wiring  Phase Iii,NULL,2007-02-22 00:00:00.000
531,235,FM________S/101-05,NULL,James Gonzales,tbd,"Elevator Modernization & Jack Replacement MRL, Music & Hatlin Theater",NULL,2018-01-25 00:00:00.000
531,236,110-10,NULL,George Levinthal,Sunpower,Campus Photovoltaic - Phase III - Sunpower,NULL,2018-02-20 00:00:00.000
531,237,FM180450S,NULL,Jennifer Pierce,Goss Engineering,South Hall and Music Hall Boiler Upgrade,NULL,2018-06-25 00:00:00.000
531,238,FM-------B/100-4,NULL,James Gonzales,GOSS ENGINEERING,MUSIC II AIR HANDLER REPLACEMENT BLDG.531,NULL,2021-09-20 00:00:00.000
532,102,FM#TBD,,Paul Kouns,Moon Engineering Inc.,Coral Tree Cafe Air Handler Replacement,NULL,2019-03-25 00:00:00.000
533,206,010300B/100-71,NULL,Robert  Muhr,Mec,Replace Boilers Robertson Gym Bldg 533,NULL,2000-11-07 00:00:00.000
533,207,050330B/180-49/987622,NULL,Telli Foster,Salvador Melendez,Internal Audit Relocation To Rob Gym,NULL,2004-12-20 00:00:00.000
533,208,100345S/101-78,NULL,Daniel Belding,Chuck Woodburn,Robertson Gymnasium Roof Replacement Project,NULL,2010-04-22 00:00:00.000
533,209,120476S/987786,NULL,Daniel Belding,Fe Architects,Robertson Gymnasium Interior Renovation,NULL,2012-05-16 00:00:00.000
533,210,120532B/136-06,NULL,Telli Foster,P2S Engineering,Robertson Gym Lighting Upgrade,NULL,2012-05-23 00:00:00.000
533,211,"150537B ",NULL,Croft Yjader,FergusonEttinger Architects Inc,Robertson Gym Women'S Locker Room Remodel,NULL,2015-06-18 00:00:00.000
533,212,160017/118-94,NULL,George Levinthal,Sunpower,Campus Photovoltaic Solar Project,NULL,2016-01-20 00:00:00.000
533,213,160341S,NULL,Croft Yjader,FergusonEttinger Architects Inc,Robertson Gym Women'S Locker Room Remodel,NULL,2016-03-23 00:00:00.000
533,214,160342S,NULL,Croft Yjader,FergusonEttinger Architects Inc,Robertson Gym Weight Room 1420 Renovation,NULL,2016-03-23 00:00:00.000
533,215,170188B/101-76,NULL,Croft Yjader,Collings And Associates,Robertson Gym Fire Alarm Project,NULL,2017-05-22 00:00:00.000
534,284,030553B,NULL,Deedee Ciancola,Chuck Woodburn,Arts Interior Basement Renovation,NULL,2003-05-02 00:00:00.000
534,285,030554B,NULL,Deedee Ciancola,Chuck Woodburn,Arts 1St Floor Foundation Classroom Remodel,NULL,2003-05-02 00:00:00.000
534,286,0305554b/238-63,NULL,Deedee Ciancola,Chuck Woodburn,Arts Phase Ii Rms 1340 1344A  1344D,NULL,2003-05-06 00:00:00.000
534,287,0400788/981480,NULL,James Gonzales,Chuck Woodburn,"Arts Building 534 Phase 3
Student Machine Shop",NULL,2003-08-26 00:00:00.000
534,288,040201B/124-87,NULL,Deedee Ciancola,Chuck Woodburn,Arts Building Phase 4,NULL,2003-09-16 00:00:00.000
534,289,040321S/124-09,NULL,Deedee Ciancola,,Arts 7,NULL,2004-01-22 00:00:00.000
534,290,110546S/154-06,NULL,Deedee Ciancola,Sb Electrical Design,University Art Museum Security,NULL,2011-05-26 00:00:00.000
534,291,,NULL,Deedee Ciancola,"Architects West Greg Rech ",University Art Museum Renovation,NULL,2011-07-11 00:00:00.000
534,301,988720,NULL,Steve Eggemeyer,,Art Museum Renovation,NULL,2007-06-01 00:00:00.000
534,302,,NULL,Jennifer Hernandez,,"Haa Learning Lab 1245 ""C"" Renovation",NULL,2017-02-10 00:00:00.000
534,303,110-10,NULL,George Levinthal,Sunpower,Campus Photovoltaic - Phase III - Sunpower,NULL,2018-02-20 00:00:00.000
534,304,FM#190028JOC,NULL,Jennifer Pierce,Goss Engineering,Theater & Arts Boiler Replacement (554 & 534),NULL,2019-01-14 00:00:00.000
535,250,930422/237-19,NULL,Robert  Muhr,Charles Mistretta,"Building 535 North Hall
Chiller Replacement",NULL,1994-05-31 00:00:00.000
535,251,010108S/987507,NULL,Aaron Douglas,Salvador Melendez,"Alterations To Room 2124
North Hall Bldg535",NULL,2000-08-23 00:00:00.000
535,252,)20367S/101-24,NULL,Robert  Muhr,Ag Mechanical Engineers,Replace Boiler North Hall Bldg 535,NULL,2002-03-27 00:00:00.000
535,253,050267S/404-41,NULL,David Mchale,Jmpe,North Hall Data Center Generator Installation  Electrical Upgrade,NULL,2004-11-16 00:00:00.000
535,254,,NULL,Telli Foster,P2S Engineering,North Hall Battery Back Up,NULL,2007-08-07 00:00:00.000
535,255,080345B/248-62,NULL,Mark Schwartzbach,Ronald Sorgman,North Hall RenovationRoom 2110,NULL,2007-12-17 00:00:00.000
535,256,09022L/981610,NULL,Telli Foster,Id Group,North Hall Data Center,NULL,2008-12-01 00:00:00.000
538,140,020304S/101-25,NULL,Emilio Casanueva,Xa Architects,Reclad,NULL,2002-01-07 00:00:00.000
538,141,060286S/109-66,NULL,George Levinthal,Gfba Architects,Dressing Room Upgrades,NULL,2005-11-22 00:00:00.000
538,142,130619S,NULL,Gene Horstin,Jeff Haight Of Ehleen Spiess And Haight Inc,Campbell Hall Nonstructural Component Bracing Bldg 538,NULL,2013-07-02 00:00:00.000
541,101,090158S/015-30,NULL,Croft Yjader,Mfdb Architects Sacramento,Research Greenhouse,NULL,2008-08-15 00:00:00.000
542,184,970419B/290-47,NULL,H Hammond,William Araluce,Renovation Of Interior Office Space,NULL,1998-07-30 00:00:00.000
542,187,040524B,NULL,Ed Marini,Tmad Engineers Inc,Ortega Dining Commons Grease Interceptor,NULL,2004-06-08 00:00:00.000
542,190,060696B/292-33,NULL,Ed Marini,Santa Barbara Electrical Design Bob Nettles,Ortega Commons Fire Alarm,NULL,2006-06-27 00:00:00.000
542,191,292-36,NULL,Ed Marini Design Gary Banks Construction,Vincent E Leifer Architects,Ortega Office Addition Nw Corner,NULL,2006-06-28 00:00:00.000
542,192,110298L/988702,NULL,Daniel Belding,Studios Architecture,Ortega Seismic Corrections And Renovations,NULL,2010-12-10 00:00:00.000
542,193,M120316WS / 137-53 / 139-52,NULL,Croft Yjader,Brummel Mechanical Engineering,Ortega And Santa Catalina Dining Room Commons Boiler Replacement  Buildings 542  860,NULL,2012-11-06 00:00:00.000
542,194,987867/078-67,NULL,Ashley Monser,Meci Ehlen Spiess And Haight,Ortega Chiller Retrofit  Chiller Installation,NULL,2016-02-29 00:00:00.000
542,195,987030/070-30,NULL,Ashley Monser,Goss Engineering,HDAE Boiler Replacements at Ortega (bldg.542) and Santa Rosa South (bldg. 547),NULL,2021-06-15 00:00:00.000
543,125,030002B/185-37,NULL,Emilio Casanueva,Murray Duncan And Van Sande,Deferred Maintenance,NULL,2002-07-01 00:00:00.000
544,200,010498-S,NULL,Emilio Casanueva,Chuck Woodburn,Replacement Of Doors,NULL,2001-02-05 00:00:00.000
544,201,988620,NULL,Steve Eggemeyer,Rbb Inc,Biological Sciences Buildings Renovations,NULL,2004-08-12 00:00:00.000
